timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time
2026-05-25 12:31:41,brandimarte_mk01,LRT_MMUR,42,6256.36,10,6,55,3,110,-1.1072,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:34:13,brandimarte_mk01,LRT_MMUR,43,6366.67,10,6,55,3,110,-1.1273,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:36:45,brandimarte_mk01,LRT_MMUR,44,6366.67,10,6,55,3,110,-1.1273,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:39:07,brandimarte_mk02,LRT_MMUR,42,5966.67,10,6,58,3,116,-1.0057,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:41:30,brandimarte_mk02,LRT_MMUR,43,5966.67,10,6,58,3,116,-1.0058,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:43:55,brandimarte_mk02,LRT_MMUR,44,5966.67,10,6,58,3,116,-1.0057,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:50:19,brandimarte_mk03,LRT_MMUR,42,15966.67,15,8,150,3,300,-1.0556,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 12:56:41,brandimarte_mk03,LRT_MMUR,43,15966.67,15,8,150,3,300,-1.0556,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:03:08,brandimarte_mk03,LRT_MMUR,44,15966.66,15,8,150,3,300,-1.0556,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:06:38,brandimarte_mk04,LRT_MMUR,42,8433.34,15,8,90,3,180,-0.9148,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:10:11,brandimarte_mk04,LRT_MMUR,43,8433.34,15,8,90,3,180,-0.9148,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:13:42,brandimarte_mk04,LRT_MMUR,44,8433.33,15,8,90,3,180,-0.9148,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:18:46,brandimarte_mk05,LRT_MMUR,42,12400.00,15,4,106,2,212,-1.1541,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:23:49,brandimarte_mk05,LRT_MMUR,43,12399.99,15,4,106,2,212,-1.1541,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:29:22,brandimarte_mk05,LRT_MMUR,44,12400.00,15,4,106,2,212,-1.1541,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:36:03,brandimarte_mk06,LRT_MMUR,42,13466.67,10,10,150,3,300,-0.8844,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:42:45,brandimarte_mk06,LRT_MMUR,43,13466.67,10,10,150,3,300,-0.8844,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
2026-05-25 13:49:26,brandimarte_mk06,LRT_MMUR,44,13466.67,10,10,150,3,300,-0.8844,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0
