timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored
2026-07-26 12:13:09,med_lam0p0120_single,LPT_SMPT,42,46595.64,106,15,690,5,1380,-0.8970,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,96,0.01200,83.3,114.9,11029.0,28362.48,41533.34,46595.64,519.69,0
2026-07-26 12:32:23,med_lam0p0120_single,LPT_SMPT,43,46866.67,106,15,692,5,1384,-0.8817,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,96,0.01200,83.3,79.2,7600.0,28297.17,42200.00,44933.34,512.20,0
2026-07-26 12:51:46,med_lam0p0120_single,LPT_SMPT,44,46466.66,106,15,676,5,1352,-0.8719,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,96,0.01200,83.3,87.5,8400.0,27519.81,41233.34,45566.66,530.75,0
2026-07-26 13:08:48,med_lam0p0120_multiple,LPT_SMPT,42,46933.33,106,15,690,5,1380,-0.9019,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,96,0.01200,83.3,114.6,11000.0,28531.45,41833.34,46933.33,499.62,0
2026-07-26 13:25:43,med_lam0p0120_multiple,LPT_SMPT,43,46933.33,106,15,692,5,1384,-0.8826,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,96,0.01200,83.3,79.2,7600.0,28344.97,42233.34,45000.00,491.76,0
2026-07-26 13:42:26,med_lam0p0120_multiple,LPT_SMPT,44,46399.98,106,15,676,5,1352,-0.8709,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,96,0.01200,83.3,87.5,8400.0,27577.67,41233.33,45633.33,504.35,0
2026-07-26 14:17:46,med_lam0p0240_single,LPT_SMPT,42,87466.69,202,15,1296,5,2592,-0.8340,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,192,0.02400,41.7,51.7,9933.3,55777.90,79800.00,86633.34,514.11,0
2026-07-26 14:58:14,med_lam0p0240_single,LPT_SMPT,43,88266.69,202,15,1300,5,2600,-0.8202,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,192,0.02400,41.7,45.5,8733.3,54682.84,81500.00,85266.66,510.99,0
2026-07-26 15:38:16,med_lam0p0240_single,LPT_SMPT,44,89500.03,202,15,1315,5,2630,-0.8130,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,192,0.02400,41.7,41.5,7966.7,56623.77,82533.38,88466.69,519.26,0
2026-07-26 16:12:56,med_lam0p0240_multiple,LPT_SMPT,42,87466.69,202,15,1296,5,2592,-0.8340,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,192,0.02400,41.7,51.7,9933.4,55813.37,79900.00,87066.69,493.55,0
2026-07-26 16:48:07,med_lam0p0240_multiple,LPT_SMPT,43,88466.69,202,15,1300,5,2600,-0.8217,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,192,0.02400,41.7,45.5,8733.4,54711.55,81700.00,85400.00,493.00,0
2026-07-26 17:23:42,med_lam0p0240_multiple,LPT_SMPT,44,89333.38,202,15,1315,5,2630,-0.8118,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,192,0.02400,41.7,41.5,7966.7,56579.71,82500.00,88300.00,499.90,0
2026-07-26 18:21:03,med_lam0p0360_single,LPT_SMPT,42,130100.00,298,15,1929,5,3858,-0.7990,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,288,0.03600,27.8,31.3,9000.0,85171.14,122433.31,129266.69,516.42,0
2026-07-26 19:18:32,med_lam0p0360_single,LPT_SMPT,43,130633.31,298,15,1926,5,3852,-0.7892,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,288,0.03600,27.8,29.9,8600.0,83609.51,123399.94,127400.06,511.63,0
2026-07-26 20:17:02,med_lam0p0360_single,LPT_SMPT,44,132066.63,298,15,1942,5,3884,-0.7844,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,288,0.03600,27.8,29.3,8433.3,85780.31,124966.63,131366.63,520.29,0
2026-07-26 21:13:20,med_lam0p0360_multiple,LPT_SMPT,42,130100.00,298,15,1929,5,3858,-0.7990,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,288,0.03600,27.8,31.3,9000.0,85214.47,122466.75,129266.63,494.48,0
2026-07-26 22:09:56,med_lam0p0360_multiple,LPT_SMPT,43,130700.00,298,15,1926,5,3852,-0.7895,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,288,0.03600,27.8,29.9,8600.0,83511.63,123366.63,127533.25,496.31,0
2026-07-26 23:07:28,med_lam0p0360_multiple,LPT_SMPT,44,132200.00,298,15,1942,5,3884,-0.7850,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,288,0.03600,27.8,29.3,8433.4,85793.29,125166.63,131500.00,495.26,0
2026-07-27 00:08:16,med_lam0p0440_single,LPT_SMPT,42,135066.63,310,15,2004,5,4008,-0.7769,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,300,0.04400,22.7,26.1,7833.4,89362.04,127600.00,134233.38,512.76,0
2026-07-27 01:09:20,med_lam0p0440_single,LPT_SMPT,43,135766.75,310,15,2004,5,4008,-0.7691,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,300,0.04400,22.7,24.1,7233.4,87584.89,128633.38,133000.00,510.89,0
2026-07-27 02:11:19,med_lam0p0440_single,LPT_SMPT,44,137300.00,310,15,2018,5,4036,-0.7661,100.0000,single,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,300,0.04400,22.7,24.6,7366.8,90048.28,131066.63,136733.25,516.78,0
2026-07-27 03:11:03,med_lam0p0440_multiple,LPT_SMPT,42,135300.13,310,15,2004,5,4008,-0.7781,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,300,0.04400,22.7,26.1,7833.4,89525.40,127733.25,134300.13,490.00,0
2026-07-27 04:11:14,med_lam0p0440_multiple,LPT_SMPT,43,135866.75,310,15,2004,5,4008,-0.7695,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,300,0.04400,22.7,24.1,7233.3,87550.85,128566.75,133233.25,494.50,0
2026-07-27 05:12:32,med_lam0p0440_multiple,LPT_SMPT,44,137033.25,310,15,2018,5,4036,-0.7648,100.0000,multiple,fixed,arr,0.00,0.0,0.0,0.000,0.000,0,0.0,300,0.04400,22.7,24.6,7366.8,89976.12,130833.50,136466.50,495.26,0
