timestamp,instance,rule,seed,makespan,machine_id,machine_type,ops_completed,time_processing,time_operational,utilization_rate,idle_time,idle_rate,availability_rate,failure_count,total_repair_time
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,0,Mill,8,120.16,4849.56,0.0248,4729.40,0.9752,0.9215,7,413.1
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,1,Lathe,0,0.00,4730.84,0.0000,4730.84,1.0000,0.8989,5,531.9
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,2,Weld,5,277.86,4925.32,0.0564,4647.46,0.9436,0.9359,6,337.4
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,3,Inspect,0,0.00,4954.88,0.0000,4954.88,1.0000,0.9415,6,307.8
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,4,Assemble,0,0.00,4787.44,0.0000,4787.44,1.0000,0.9097,5,475.3
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,5,Mill,5,75.10,4801.12,0.0156,4726.02,0.9844,0.9123,7,461.6
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,6,Lathe,0,0.00,4724.74,0.0000,4724.74,1.0000,0.8978,6,538.0
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,7,Weld,6,294.80,4998.46,0.0590,4703.66,0.9410,0.9498,4,295.0
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,8,Inspect,0,0.00,4821.86,0.0000,4821.86,1.0000,0.9162,8,440.8
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,9,Assemble,0,0.00,4947.66,0.0000,4947.66,1.0000,0.9401,5,315.1
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,10,Mill,1,15.02,5016.50,0.0030,5001.48,0.9970,0.9532,6,246.2
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,11,Lathe,0,0.00,4857.80,0.0000,4857.80,1.0000,0.9230,8,404.9
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,12,Weld,0,0.00,4712.64,0.0000,4712.64,1.0000,0.8955,7,550.1
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,13,Inspect,0,0.00,4902.18,0.0000,4902.18,1.0000,0.9315,6,360.5
2026-09-21 13:34:02,mfsweep_shard0,SPT_SRWT,42,5262.78,14,Assemble,0,0.00,4655.30,0.0000,4655.30,1.0000,0.8846,10,607.4
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,0,Mill,55,826.10,8110.26,0.1019,7284.16,0.8981,0.9374,9,541.7
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,1,Lathe,0,0.00,8095.50,0.0000,8095.50,1.0000,0.9357,9,556.4
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,2,Weld,39,2156.38,7672.10,0.2811,5515.72,0.7189,0.8867,12,979.8
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,3,Inspect,0,0.00,8051.88,0.0000,8051.88,1.0000,0.9306,10,600.0
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,4,Assemble,0,0.00,8020.46,0.0000,8020.46,1.0000,0.9270,8,631.5
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,5,Mill,50,751.00,8106.82,0.0926,7355.82,0.9074,0.9370,10,545.1
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,6,Lathe,0,0.00,8095.94,0.0000,8095.94,1.0000,0.9357,9,556.0
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,7,Weld,44,2383.86,7875.88,0.3027,5492.02,0.6973,0.9103,9,776.1
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,8,Inspect,0,0.00,8231.88,0.0000,8231.88,1.0000,0.9514,8,420.1
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,9,Assemble,0,0.00,8088.20,0.0000,8088.20,1.0000,0.9348,9,563.7
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,10,Mill,15,225.30,8184.48,0.0275,7959.18,0.9725,0.9460,8,467.5
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,11,Lathe,0,0.00,7930.76,0.0000,7930.76,1.0000,0.9166,10,721.2
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,12,Weld,34,1827.28,7719.98,0.2367,5892.70,0.7633,0.8923,13,931.9
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,13,Inspect,0,0.00,8223.84,0.0000,8223.84,1.0000,0.9505,8,428.1
2026-09-21 13:39:57,mfsweep_shard0,SPT_SRWT,43,8652.02,14,Assemble,0,0.00,7902.08,0.0000,7902.08,1.0000,0.9133,13,749.8
2026-09-21 13:43:33,mfsweep_shard0,SPT_SRWT,44,7535.60,0,Mill,9,135.18,6985.76,0.0194,6850.58,0.9806,0.9270,10,549.8
