timestamp,instance,rule,seed,makespan,window_start,window_end,window_seconds,jobs_completed,throughput_per_sec,throughput_per_min,cumulative_completed,work_in_progress
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,0.0,60.0,60.0,0,0.00000,0.000,0,3
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,60.0,120.0,60.0,0,0.00000,0.000,0,5
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,120.0,180.0,60.0,0,0.00000,0.000,0,7
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,180.0,240.0,60.0,1,0.01667,1.000,1,9
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,240.0,300.0,60.0,2,0.03333,2.000,3,9
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,300.0,360.0,60.0,2,0.03333,2.000,5,9
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,360.0,420.0,60.0,1,0.01667,1.000,6,10
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,420.0,480.0,60.0,1,0.01667,1.000,7,12
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,480.0,540.0,60.0,1,0.01667,1.000,8,13
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,540.0,600.0,60.0,3,0.05000,3.000,11,12
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,600.0,660.0,60.0,1,0.01667,1.000,12,14
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,660.0,720.0,60.0,3,0.05000,3.000,15,13
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,720.0,780.0,60.0,1,0.01667,1.000,16,14
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,780.0,840.0,60.0,1,0.01667,1.000,17,15
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,840.0,900.0,60.0,1,0.01667,1.000,18,17
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,900.0,960.0,60.0,2,0.03333,2.000,20,17
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,960.0,1020.0,60.0,1,0.01667,1.000,21,18
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1020.0,1080.0,60.0,1,0.01667,1.000,22,20
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1080.0,1140.0,60.0,0,0.00000,0.000,22,22
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1140.0,1200.0,60.0,1,0.01667,1.000,23,23
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1200.0,1260.0,60.0,2,0.03333,2.000,25,23
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1260.0,1320.0,60.0,2,0.03333,2.000,27,24
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1320.0,1380.0,60.0,1,0.01667,1.000,28,25
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1380.0,1440.0,60.0,2,0.03333,2.000,30,25
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1440.0,1500.0,60.0,1,0.01667,1.000,31,27
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1500.0,1560.0,60.0,1,0.01667,1.000,32,28
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1560.0,1620.0,60.0,1,0.01667,1.000,33,29
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1620.0,1680.0,60.0,1,0.01667,1.000,34,30
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1680.0,1740.0,60.0,3,0.05000,3.000,37,30
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1740.0,1800.0,60.0,1,0.01667,1.000,38,31
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1800.0,1860.0,60.0,2,0.03333,2.000,40,31
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1860.0,1920.0,60.0,1,0.01667,1.000,41,33
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1920.0,1980.0,60.0,2,0.03333,2.000,43,33
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,1980.0,2040.0,60.0,2,0.03333,2.000,45,33
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2040.0,2100.0,60.0,2,0.03333,2.000,47,33
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2100.0,2160.0,60.0,1,0.01667,1.000,48,35
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2160.0,2220.0,60.0,1,0.01667,1.000,49,36
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2220.0,2280.0,60.0,1,0.01667,1.000,50,37
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2280.0,2340.0,60.0,2,0.03333,2.000,52,38
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2340.0,2400.0,60.0,2,0.03333,2.000,54,38
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2400.0,2460.0,60.0,2,0.03333,2.000,56,38
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2460.0,2520.0,60.0,1,0.01667,1.000,57,39
2026-09-21 13:35:08,mfsweep_control_nofail,LRT_MMUR,42,5742.76,2520.0,2580.0,60.0,2,0.03333,2.000,59,40
