timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_parking_overlap_events,agv_min_centre_distance,reservation_protocol
2026-09-20 19:21:45,mfsweep_shard0,LRT_MMUR,42,4608.38,137,15,274,7,600,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,82,5495.8,0,0.00000,0.0,0.0,-1.0,534.75,1279.58,1942.54,253.46,0,534.75,1279.58,1942.54,0,-1.0,-1.0,1,0,0.00,4,2.56,58,2.068,holdPrevious
2026-09-20 19:27:19,mfsweep_shard0,LRT_MMUR,43,5196.78,137,15,274,7,705,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,92,6334.9,0,0.00000,0.0,0.0,-1.0,903.59,2174.03,2563.79,536.31,0,903.59,2174.03,2563.79,0,-1.0,-1.0,0,0,0.00,12,7.18,54,2.047,holdPrevious
2026-09-20 19:32:44,mfsweep_shard0,LRT_MMUR,44,5430.18,137,15,274,7,764,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,90,5323.5,0,0.00000,0.0,0.0,-1.0,954.76,2469.40,4060.37,551.77,0,954.76,2469.40,4060.37,0,-1.0,-1.0,0,0,0.00,7,4.02,62,2.047,holdPrevious
2026-09-20 19:37:50,mfsweep_shard0,LRT_MMUR,45,5112.30,137,15,274,7,708,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,103,6278.4,0,0.00000,0.0,0.0,-1.0,797.67,1801.35,2205.50,475.84,0,797.67,1801.35,2205.50,0,-1.0,-1.0,3,1,0.68,9,6.52,49,0.376,holdPrevious
2026-09-20 19:42:53,mfsweep_shard0,LRT_MMUR,46,5225.68,137,15,274,7,640,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,95,6032.7,0,0.00000,0.0,0.0,-1.0,640.69,1619.34,2153.24,321.00,0,640.69,1619.34,2153.24,0,-1.0,-1.0,0,1,0.70,6,4.06,90,0.279,holdPrevious
2026-09-20 19:47:30,mfsweep_shard0,LRT_MMUR,47,4649.20,137,15,274,7,634,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,86,5418.1,0,0.00000,0.0,0.0,-1.0,619.88,1362.67,1731.71,309.82,0,619.88,1362.67,1731.71,0,-1.0,-1.0,0,0,0.00,5,3.20,52,2.047,holdPrevious
2026-09-20 19:53:21,mfsweep_shard0,LRT_MMUR,48,5971.78,137,15,274,7,747,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,108,7140.8,0,0.00000,0.0,0.0,-1.0,1179.65,2764.02,4911.09,664.06,0,1179.65,2764.02,4911.09,0,-1.0,-1.0,0,0,0.00,6,3.80,82,2.053,holdPrevious
2026-09-20 19:57:43,mfsweep_shard0,LRT_MMUR,49,4364.64,137,15,274,7,601,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,76,5062.8,0,0.00000,0.0,0.0,-1.0,576.53,1319.51,1908.91,272.98,0,576.53,1319.51,1908.91,0,-1.0,-1.0,1,0,0.00,5,3.94,30,2.062,holdPrevious
2026-09-20 20:02:31,mfsweep_shard0,LRT_MMUR,50,4821.28,137,15,274,7,651,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,89,5595.8,0,0.00000,0.0,0.0,-1.0,849.90,1735.92,3022.69,497.01,0,849.90,1735.92,3022.69,0,-1.0,-1.0,0,0,0.00,7,4.38,24,2.047,holdPrevious
2026-09-20 20:07:32,mfsweep_shard0,LRT_MMUR,51,5021.22,137,15,274,7,662,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,97,6731.8,0,0.00000,0.0,0.0,-1.0,802.37,1815.23,2497.70,532.28,0,802.37,1815.23,2497.70,0,-1.0,-1.0,0,1,0.68,2,1.98,51,0.173,holdPrevious
2026-09-20 20:12:45,mfsweep_shard0,LRT_MMUR,52,5205.60,137,15,274,7,684,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,93,6289.4,0,0.00000,0.0,0.0,-1.0,1016.09,2759.54,3524.27,525.52,0,1016.09,2759.54,3524.27,0,-1.0,-1.0,0,2,1.06,9,16.86,40,0.572,holdPrevious
2026-09-20 20:18:56,mfsweep_shard0,LRT_MMUR,53,6206.84,137,15,274,7,791,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,127,7850.1,0,0.00000,0.0,0.0,-1.0,1246.19,2951.61,3657.43,781.71,0,1246.19,2951.61,3657.43,0,-1.0,-1.0,0,0,0.00,3,1.92,81,2.068,holdPrevious
2026-09-20 20:24:16,mfsweep_shard0,LRT_MMUR,54,5313.86,137,15,274,7,758,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,104,6369.8,0,0.00000,0.0,0.0,-1.0,1195.07,3390.23,4417.89,732.13,0,1195.07,3390.23,4417.89,0,-1.0,-1.0,0,0,0.00,9,6.00,40,2.047,holdPrevious
2026-09-20 20:29:35,mfsweep_shard0,LRT_MMUR,55,5312.10,137,15,274,7,668,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,91,5423.9,0,0.00000,0.0,0.0,-1.0,983.17,2058.69,2776.91,645.60,0,983.17,2058.69,2776.91,0,-1.0,-1.0,0,0,0.00,1,0.64,41,2.069,holdPrevious
2026-09-20 20:34:11,mfsweep_shard0,LRT_MMUR,56,4658.02,137,15,274,7,600,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,80,4868.1,0,0.00000,0.0,0.0,-1.0,656.97,1271.38,2151.75,375.97,0,656.97,1271.38,2151.75,0,-1.0,-1.0,0,1,0.68,7,5.30,38,0.210,holdPrevious
2026-09-20 20:39:38,mfsweep_shard0,LRT_MMUR,57,5558.70,137,15,274,7,728,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,109,6284.2,0,0.00000,0.0,0.0,-1.0,1007.38,2536.42,3681.08,533.79,0,1007.38,2536.42,3681.08,0,-1.0,-1.0,1,1,0.68,7,5.28,72,0.173,holdPrevious
2026-09-20 20:44:10,mfsweep_shard0,LRT_MMUR,58,4544.28,137,15,274,7,626,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,78,5295.0,0,0.00000,0.0,0.0,-1.0,656.55,1400.12,1932.77,375.25,0,656.55,1400.12,1932.77,0,-1.0,-1.0,1,0,0.00,6,3.92,36,2.047,holdPrevious
2026-09-20 20:48:39,mfsweep_shard0,LRT_MMUR,59,4441.86,137,15,274,7,604,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,80,4973.7,0,0.00000,0.0,0.0,-1.0,554.22,1176.16,1536.63,297.05,0,554.22,1176.16,1536.63,0,-1.0,-1.0,0,1,0.70,5,3.94,31,0.162,holdPrevious
2026-09-20 20:53:25,mfsweep_shard0,LRT_MMUR,60,4717.40,137,15,274,7,648,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,81,5430.3,0,0.00000,0.0,0.0,-1.0,766.02,1494.44,3421.07,459.73,0,766.02,1494.44,3421.07,0,-1.0,-1.0,0,0,0.00,2,1.32,23,2.047,holdPrevious
2026-09-20 20:58:42,mfsweep_shard0,LRT_MMUR,61,5250.76,137,15,274,7,701,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,95,6018.5,0,0.00000,0.0,0.0,-1.0,849.59,2001.04,2839.33,529.97,0,849.59,2001.04,2839.33,0,-1.0,-1.0,2,1,0.68,5,3.84,45,0.130,holdPrevious
