timestamp,instance,rule,seed,makespan,sim_time,decision_index,decision_type,subject_id,chosen_id,candidate_count,is_degenerate,candidate_ids,candidate_stat_a,candidate_stat_b,candidate_stat_c,job_candidate_count,is_job_selection_degenerate,job_candidate_ids
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,0.0,1,Routing,0,0,3,0,0|5|10,15|15|15,0|0|0,0|0|0,1,1,0
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,26.3,2,Routing,1,0,3,0,0|5|10,15|15|15,15|0|0,0|0|0,1,1,1
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,30.7,3,Dispatch,0,0,1,1,0,15,74.6,0,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,45.7,4,Routing,0,2,3,0,2|7|12,59.6|59.6|59.6,0|0|0,0|0|0,1,1,0
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,52.6,5,Routing,2,0,3,0,0|5|10,15|15|15,15|0|0,0.2856599|0|0,1,1,2
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,60.2,6,Dispatch,0,1,1,1,1,15,54.33,26.28,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,75.2,7,Routing,1,2,3,0,2|7|12,39.33|39.33|39.33,59.6|0|0,0|0|0,1,1,1
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,78.9,8,Routing,3,0,3,0,0|5|10,15|15|15,15|0|0,0.3809282|0|0,1,1,3
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,89.7,9,Dispatch,0,2,1,1,2,15,62.58,52.55,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,96.9,10,Dispatch,2,0,1,1,0,59.5999984741211,59.6,0,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,104.7,11,Routing,2,2,3,0,2|7|12,47.58|47.58|47.58,39.33|0|0,0.07413068|0|0,1,1,2
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,105.1,12,Routing,4,0,3,0,0|5|10,15|15|15,15|0|0,0.4285714|0|0,1,1,4
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,119.3,13,Dispatch,0,3,1,1,3,15,60.87,78.83,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,131.4,14,Routing,5,0,3,0,0|5|10,15|15|15,15|0|0,0.435398|0|0,1,1,5
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,134.3,15,Routing,3,2,3,0,2|7|12,45.87|45.87|45.87,86.91|0|0,0.2782246|0|0,1,1,3
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,148.7,16,Dispatch,0,4,1,1,4,15,77.8,105.11,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,156.5,17,Dispatch,2,1,2,0,1|2,39.3300018310547|47.5800018310547,39.33|47.58,26.28|52.55,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,157.7,18,Routing,6,0,3,0,0|5|10,15|15|15,15|0|0,0.4380469|0|0,1,1,6
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,163.7,19,Routing,4,2,3,0,2|7|12,62.8|62.8|62.8,93.45|0|0,0.4080137|0|0,1,1,4
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,177.9,20,Dispatch,0,5,1,1,5,15,75.83,131.39,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,184.0,21,Routing,7,0,3,0,0|5|10,15|15|15,15|0|0,0.441461|0|0,1,1,7
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,192.9,22,Routing,5,2,3,0,2|7|12,60.83|60.83|60.83,156.25|0|0,0.4975114|0|0,1,1,5
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,192.9,23,Dispatch,0,6,1,1,6,15,82.94,157.66,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,195.9,24,Dispatch,2,3,2,0,2|3,47.5800018310547|45.8699989318848,47.58|45.87,52.55|78.83,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,207.9,25,Routing,6,2,3,0,2|7|12,67.94|67.94|67.94,171.21|0|0,0.5338592|0|0,1,1,6
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,210.3,26,Routing,8,0,3,0,0|5|10,15|15|15,15|0|0,0.5000476|0|0,1,1,8
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,236.5,27,Routing,9,0,3,0,0|5|10,15|15|15,30|0|0,0.4444914|0|0,1,1,9
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,241.8,28,Dispatch,2,2,2,0,2|4,47.5800018310547|62.7999992370605,47.58|62.8,52.55|105.11,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,262.8,29,Routing,10,0,3,0,0|5|10,15|15|15,45|0|0,0.4000761|0|0,1,1,10
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,272.0,30,Dispatch,0,7,1,1,7,15,56.37,183.94,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,287.0,31,Routing,7,2,3,0,2|7|12,41.37|41.37|41.37,191.57|0|0,0.6623467|0|0,1,1,7
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,289.1,32,Routing,11,0,3,0,0|5|10,15|15|15,45|0|0,0.4156635|0|0,1,1,11
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,289.4,33,Dispatch,2,4,2,0,4|6,62.7999992370605|67.9400024414063,62.8|67.94,105.11|157.66,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,295.9,34,Dispatch,0,8,1,1,8,15,67.42,210.22,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,310.9,35,Routing,8,2,3,0,2|7|12,52.42|52.42|52.42,170.14|0|0,0.6882398|0|0,1,1,8
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,315.4,36,Routing,12,0,3,0,0|5|10,15|15|15,45|0|0,0.428653|0|0,1,1,12
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,338.5,37,Dispatch,0,9,1,1,9,15,54.48,236.5,0,0,
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,341.6,38,Routing,13,0,3,0,0|5|10,15|15|15,45|0|0,0.4048121|0|0,1,1,13
2026-09-20 19:24:20,mfsweep_control_nofail,SPT_SMPT,42,7620.22,352.2,39,Dispatch,2,7,3,0,5|6|7,60.8300018310547|67.9400024414063|41.3699989318848,60.83|67.94|41.37,131.39|157.66|183.94,0,0,
