timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_parking_overlap_events,agv_min_centre_distance,reservation_protocol
2026-09-21 00:47:25,mfsweep_shard0,LRT_MMUR,42,4404.02,137,15,274,10,577,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,74,5035.1,0,0.00000,0.0,0.0,-1.0,396.40,817.84,1145.63,169.67,0,396.40,817.84,1145.63,0,-1.0,-1.0,0,106,48.50,233,214.68,299,0.079,releasePrevious
2026-09-21 00:53:11,mfsweep_shard0,LRT_MMUR,43,5060.38,137,15,274,10,690,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,91,6278.4,0,0.00000,0.0,0.0,-1.0,761.53,2513.61,4270.07,260.15,0,761.53,2513.61,4270.07,0,-1.0,-1.0,2,66,28.94,249,262.86,284,0.013,releasePrevious
2026-09-21 00:58:08,mfsweep_shard0,LRT_MMUR,44,4349.02,137,15,274,10,651,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,71,4059.4,0,0.00000,0.0,0.0,-1.0,627.78,1934.88,2717.41,239.96,0,627.78,1934.88,2717.41,0,-1.0,-1.0,2,56,26.20,195,232.10,192,0.127,releasePrevious
2026-09-21 01:03:39,mfsweep_shard0,LRT_MMUR,45,4843.86,137,15,274,10,692,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,99,6034.8,0,0.00000,0.0,0.0,-1.0,639.04,1576.09,2018.02,236.96,0,639.04,1576.09,2018.02,0,-1.0,-1.0,4,60,27.94,174,137.04,251,0.376,releasePrevious
2026-09-21 01:08:34,mfsweep_shard0,LRT_MMUR,46,4301.50,137,15,274,10,606,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,76,5036.8,0,0.00000,0.0,0.0,-1.0,465.73,1297.98,2110.16,177.37,0,465.73,1297.98,2110.16,0,-1.0,-1.0,1,90,41.46,239,281.48,295,0.055,releasePrevious
2026-09-21 01:13:12,mfsweep_shard0,LRT_MMUR,47,4032.02,137,15,274,10,591,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,75,4703.4,0,0.00000,0.0,0.0,-1.0,416.56,886.91,1177.45,173.08,0,416.56,886.91,1177.45,0,-1.0,-1.0,2,99,43.52,223,211.20,252,0.144,releasePrevious
2026-09-21 01:18:25,mfsweep_shard0,LRT_MMUR,48,4546.72,137,15,274,10,686,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,86,5814.5,0,0.00000,0.0,0.0,-1.0,732.22,2096.73,4008.55,257.04,0,732.22,2096.73,4008.55,0,-1.0,-1.0,4,52,23.86,236,238.12,212,0.028,releasePrevious
2026-09-21 01:23:30,mfsweep_shard0,LRT_MMUR,49,4515.08,137,15,274,10,609,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,80,5293.3,0,0.00000,0.0,0.0,-1.0,485.86,1301.66,1850.54,176.04,0,485.86,1301.66,1850.54,0,-1.0,-1.0,5,110,49.20,245,248.64,261,0.133,releasePrevious
2026-09-21 01:28:28,mfsweep_shard0,LRT_MMUR,50,4432.70,137,15,274,10,634,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,86,5427.8,0,0.00000,0.0,0.0,-1.0,502.30,1207.53,2814.68,212.66,0,502.30,1207.53,2814.68,0,-1.0,-1.0,3,60,26.24,202,318.42,247,0.101,releasePrevious
2026-09-21 01:33:23,mfsweep_shard0,LRT_MMUR,51,4371.82,137,15,274,10,615,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,85,5837.8,0,0.00000,0.0,0.0,-1.0,526.69,1404.75,2495.00,192.19,0,526.69,1404.75,2495.00,0,-1.0,-1.0,0,71,32.16,213,336.72,256,0.092,releasePrevious
