timestamp,instance,rule,seed,agv_count,event_id,start_time,duration,agv_a,agv_b,min_centre_distance,zone_a,zone_b,state_a,state_b,a_x,a_z,b_x,b_z
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,0,202.96,0.44,3,6,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,1,208.58,0.44,1,3,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,2,218.16,0.34,1,4,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.40,-14.71,-8.26,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,3,228.78,0.46,4,8,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,4,234.18,0.44,2,8,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,5,279.80,0.44,5,6,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,6,314.48,0.44,3,10,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,7,320.02,0.30,1,3,0.957,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.19,-14.00,-9.27,-14.76
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,8,329.88,0.46,1,4,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,9,358.10,0.02,6,7,1.150,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.12,-14.00,-8.34,-15.13
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,10,389.12,0.44,0,2,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,11,413.14,0.44,2,5,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,12,418.64,0.44,5,8,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,13,424.16,0.44,3,8,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,14,445.60,0.46,3,9,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,15,463.62,0.44,1,9,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,16,469.04,0.44,1,10,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,17,479.78,0.44,10,11,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,18,528.58,0.46,4,11,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,19,543.38,0.44,4,6,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,20,548.78,0.44,6,7,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,21,575.72,0.44,7,12,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,22,581.12,0.44,12,13,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,23,586.50,0.44,0,13,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,24,591.94,0.44,0,2,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,25,597.44,0.46,2,8,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,26,602.88,0.44,5,8,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,27,639.14,0.44,5,9,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,28,657.66,0.44,9,14,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,29,681.96,0.46,3,14,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,30,687.52,0.44,3,15,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,31,692.96,0.44,1,15,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,32,711.76,0.44,1,16,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,33,738.10,0.46,16,17,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
