timestamp,instance,rule,seed,makespan,agv_id,total_trips,mean_trip_duration,time_idle,time_waiting_route,time_traveling,time_loading,time_unloading,total_path_length,reroute_count,congestion_fraction,stall_recovery_count
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,0,40,29.63,257.72,1367.20,2214.86,76.32,77.76,6491.03,0,0.3423,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,1,36,29.61,385.62,1424.44,2044.68,66.08,73.04,5995.78,0,0.3567,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,2,37,28.90,482.70,1331.66,2037.28,71.36,70.86,5962.74,0,0.3334,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,3,34,26.29,506.62,1378.60,1976.82,65.06,66.76,5779.69,0,0.3452,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,4,33,28.99,575.20,1375.74,1913.46,63.64,65.82,5610.57,0,0.3445,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,5,39,29.34,596.20,1226.72,2019.32,74.96,76.66,5890.01,0,0.3072,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,6,32,33.50,666.62,1348.52,1854.08,66.24,58.40,5446.70,0,0.3376,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,7,36,27.31,893.00,1173.16,1790.46,63.96,73.28,5248.25,0,0.2937,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,8,32,30.07,862.30,1268.92,1739.16,59.48,64.00,5101.95,0,0.3177,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,9,28,29.39,974.32,1206.50,1702.66,54.22,56.16,5015.78,0,0.3021,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,10,32,28.78,1031.60,1111.96,1728.04,60.26,62.00,5107.20,0,0.2784,0
2026-09-20 19:04:07,mfsweep_control_nofail,LPT_MMUR,42,3993.88,11,32,28.26,828.60,1362.70,1679.54,57.98,65.04,4961.53,0,0.3412,0
