timestamp,instance,rule,seed,makespan,agv_id,total_trips,mean_trip_duration,time_idle,time_waiting_route,time_traveling,time_loading,time_unloading,total_path_length,reroute_count,congestion_fraction,stall_recovery_count
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,0,4,52.74,26.50,6251.90,229.18,6.76,8.80,682.50,0,0.9584,32
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,1,4,37.26,67.36,6233.54,208.10,7.48,6.66,620.48,1,0.9556,31
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,2,4,34.55,56.42,6243.68,208.36,8.82,5.86,611.31,1,0.9572,29
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,3,6,18.08,67.38,6210.26,229.20,10.36,5.94,679.84,0,0.9520,29
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,4,1,127.28,70.56,6281.44,166.68,2.24,2.22,496.51,0,0.9629,32
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,5,8,26.37,114.32,6144.38,236.22,15.62,12.60,683.41,0,0.9419,25
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,6,31,2.34,124.70,6079.76,244.84,67.34,6.50,558.39,2,0.9320,31
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,7,3,90.97,150.72,6193.60,167.02,5.22,6.58,493.08,1,0.9495,32
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,8,1,53.14,159.44,6266.08,93.90,1.50,2.22,282.52,0,0.9606,33
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,9,1,43.72,200.66,6223.04,95.80,2.14,1.50,286.30,0,0.9540,30
2026-09-19 19:12:15,mfsweep_shard0,LRT_MMUR,42,6523.16,10,6,5.61,262.80,6178.74,66.78,12.60,2.22,171.99,0,0.9472,32
2026-09-19 19:16:48,mfsweep_shard0,LRT_MMUR,43,7319.10,0,11,17.25,54.46,6864.48,369.62,19.42,11.10,1097.60,1,0.9379,30
2026-09-19 19:16:48,mfsweep_shard0,LRT_MMUR,43,7319.10,1,8,14.19,43.80,6938.48,312.48,16.24,8.08,910.77,0,0.9480,36
2026-09-19 19:16:48,mfsweep_shard0,LRT_MMUR,43,7319.10,2,10,14.48,81.58,6917.42,294.72,17.92,7.44,870.17,3,0.9451,33
