cell,rule,seed,agv,failures,makespan,jobs_censored,watchdog,stall_recoveries,orphan_agvs,first_stall,orphans_released,gridlock,recovered
agv10_LPT_MMUR,LPT_MMUR,42,10,0,3921.42,0,False,0,0,-1.0,0,False,False
agv10_LRT_MMUR,LRT_MMUR,42,10,0,3921.42,0,False,0,0,-1.0,0,False,False
agv10_SPT_SMPT,SPT_SMPT,42,10,0,7609.74,0,False,0,8,-1.0,0,False,False
agv10_SPT_SRWT,SPT_SRWT,42,10,0,3785.92,0,False,0,0,-1.0,0,False,False
agv12_LPT_MMUR,LPT_MMUR,42,12,0,3953.36,0,False,0,0,-1.0,0,False,False
agv12_LRT_MMUR,LRT_MMUR,42,12,0,3953.36,0,False,0,0,-1.0,0,False,False
agv12_SPT_SMPT,SPT_SMPT,42,12,0,7608.94,0,False,0,10,-1.0,0,False,False
agv12_SPT_SRWT,SPT_SRWT,42,12,0,3770.62,0,False,0,0,-1.0,0,False,False
agv14_LPT_MMUR,LPT_MMUR,42,14,0,4109.04,0,False,0,2,-1.0,0,False,False
agv14_LRT_MMUR,LRT_MMUR,42,14,0,4109.04,0,False,0,2,-1.0,0,False,False
agv14_SPT_SMPT,SPT_SMPT,42,14,0,7609.38,0,False,0,12,-1.0,0,False,False
agv14_SPT_SRWT,SPT_SRWT,42,14,0,3779.96,0,False,0,0,-1.0,0,False,False
agv16_LPT_MMUR,LPT_MMUR,42,16,0,4192.94,0,False,0,3,-1.0,0,False,False
agv16_LRT_MMUR,LRT_MMUR,42,16,0,4192.94,0,False,0,3,-1.0,0,False,False
agv16_SPT_SMPT,SPT_SMPT,42,16,0,7610.44,0,False,0,14,-1.0,0,False,False
agv16_SPT_SRWT,SPT_SRWT,42,16,0,3813.82,0,False,0,3,-1.0,0,False,False
agv18_LPT_MMUR,LPT_MMUR,42,18,0,4165.34,0,False,1,5,2197.5,0,False,True
agv18_LRT_MMUR,LRT_MMUR,42,18,0,4165.34,0,False,1,5,2197.5,0,False,True
agv18_SPT_SMPT,SPT_SMPT,42,18,0,7615.28,0,False,0,16,-1.0,0,False,False
agv18_SPT_SRWT,SPT_SRWT,42,18,0,3810.52,0,False,0,4,-1.0,0,False,False
agv20_LPT_MMUR,LPT_MMUR,42,20,0,4202.52,0,False,0,8,-1.0,0,False,False
agv20_LRT_MMUR,LRT_MMUR,42,20,0,4202.52,0,False,0,8,-1.0,0,False,False
agv20_SPT_SMPT,SPT_SMPT,42,20,0,7616.0,0,False,0,18,-1.0,0,False,False
agv20_SPT_SRWT,SPT_SRWT,42,20,0,3797.32,0,False,0,6,-1.0,0,False,False
agv22_LPT_MMUR,LPT_MMUR,42,22,0,4195.16,0,False,0,9,-1.0,0,False,False
agv22_LRT_MMUR,LRT_MMUR,42,22,0,4195.16,0,False,0,9,-1.0,0,False,False
agv22_SPT_SMPT,SPT_SMPT,42,22,0,7617.24,0,False,0,20,-1.0,0,False,False
agv22_SPT_SRWT,SPT_SRWT,42,22,0,3785.6,0,False,0,9,-1.0,0,False,False
agv24_LPT_MMUR,LPT_MMUR,42,24,0,4124.86,0,False,0,11,-1.0,0,False,False
agv24_LRT_MMUR,LRT_MMUR,42,24,0,4124.86,0,False,0,11,-1.0,0,False,False
agv24_SPT_SMPT,SPT_SMPT,42,24,0,7618.48,0,False,0,22,-1.0,0,False,False
agv24_SPT_SRWT,SPT_SRWT,42,24,0,3810.38,0,False,0,11,-1.0,0,False,False
agv28_LPT_MMUR,LPT_MMUR,42,28,0,4204.6,0,False,0,15,-1.0,0,False,False
agv28_LRT_MMUR,LRT_MMUR,42,28,0,4204.6,0,False,0,15,-1.0,0,False,False
agv28_SPT_SMPT,SPT_SMPT,42,28,0,7620.98,0,False,0,26,-1.0,0,False,False
agv28_SPT_SRWT,SPT_SRWT,42,28,0,3815.34,0,False,0,15,-1.0,0,False,False
agv9_LPT_MMUR,LPT_MMUR,42,9,0,4085.5,0,False,0,0,-1.0,0,False,False
agv9_LRT_MMUR,LRT_MMUR,42,9,0,4085.5,0,False,0,0,-1.0,0,False,False
agv9_SPT_SMPT,SPT_SMPT,42,9,0,7610.22,0,False,0,7,-1.0,0,False,False
agv9_SPT_SRWT,SPT_SRWT,42,9,0,3770.14,0,False,0,0,-1.0,0,False,False
