timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_static_overlap_events,agv_min_centre_distance,release_previous_zone,split_spines,orphan_reaper
2026-09-20 13:04:29,mfsweep_shard0,LRT_MMUR,42,3884.92,137,15,274,20,439,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,69,4715.7,0,0.00000,0.0,0.0,-1.0,308.96,368.99,368.99,235.76,130,3702.21,3884.92,3884.92,1,3884.9,527.2,0,253,13350.47,380,17759.99,0,0.000,0,0,1
2026-09-20 13:07:08,mfsweep_shard0,LRT_MMUR,43,3569.44,137,15,272,20,508,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,63,4302.2,0,0.00000,0.0,0.0,-1.0,239.96,280.44,280.44,163.29,132,3471.51,3569.44,3569.44,1,3569.4,537.6,0,164,7059.40,235,17562.27,0,0.000,0,0,1
2026-09-20 13:14:21,mfsweep_shard0,LRT_MMUR,44,9763.48,137,15,274,20,1923,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,178,10642.4,0,0.00000,0.0,0.0,-1.0,1087.16,6391.61,6391.61,1009.24,129,9256.83,9763.48,9763.48,1,9763.5,737.3,0,379,49074.18,514,56630.74,0,0.000,0,0,1
2026-09-20 13:17:06,mfsweep_shard0,LRT_MMUR,45,3735.76,137,15,274,20,530,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,73,4489.9,0,0.00000,0.0,0.0,-1.0,285.03,380.57,380.57,211.50,130,3559.44,3735.76,3735.76,1,3735.8,627.0,0,257,10196.84,394,11506.46,0,0.000,0,0,1
2026-09-20 13:20:32,mfsweep_shard0,LRT_MMUR,46,4478.20,137,15,274,20,697,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,79,5213.9,0,0.00000,0.0,0.0,-1.0,266.54,360.19,360.19,187.38,129,4232.26,4478.20,4478.20,1,4478.2,703.8,1,240,21143.47,361,22192.73,0,0.000,0,0,1
2026-09-20 13:27:06,mfsweep_shard0,LRT_MMUR,47,8289.70,137,15,274,20,381,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,144,8939.0,0,0.00000,0.0,0.0,-1.0,522.74,971.52,971.52,384.26,128,7779.46,8289.70,8289.70,1,8289.7,726.5,0,424,29687.65,652,31240.99,0,0.000,0,0,1
2026-09-20 13:32:41,mfsweep_shard0,LRT_MMUR,48,7593.38,137,15,274,20,1016,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,149,9639.7,0,0.00000,0.0,0.0,-1.0,491.87,1226.62,1226.62,409.44,129,7178.69,7593.38,7593.38,1,7593.4,613.2,2,316,29810.63,444,32454.99,0,0.000,0,0,1
2026-09-20 13:38:11,mfsweep_shard0,LRT_MMUR,49,8114.76,137,15,274,20,848,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,143,9579.5,0,0.00000,0.0,0.0,-1.0,341.44,450.50,450.50,261.75,123,7320.40,8114.76,8114.76,1,8114.8,595.8,1,445,24044.25,604,26840.11,0,0.000,0,0,1
2026-09-20 13:40:11,mfsweep_shard0,LRT_MMUR,50,3794.62,137,15,274,20,609,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,76,4636.2,0,0.00000,0.0,0.0,-1.0,267.12,315.41,315.41,194.89,131,3640.13,3794.62,3794.62,1,3794.6,640.5,1,230,12556.46,337,13802.15,0,0.000,0,0,1
2026-09-20 13:42:07,mfsweep_shard0,LRT_MMUR,51,3718.94,137,15,274,20,638,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,74,5116.0,0,0.00000,0.0,0.0,-1.0,349.28,484.46,484.46,243.86,127,3472.98,3718.94,3718.94,1,3718.9,607.5,0,241,19109.73,359,23107.45,0,0.000,0,0,1
