timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_static_overlap_events,agv_min_centre_distance,release_previous_zone,split_spines,orphan_reaper
2026-09-20 11:36:48,mfsweep_shard0,SPT_SRWT,42,3860.14,137,15,274,9,583,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,69,4715.7,0,0.00000,0.0,0.0,-1.0,241.25,390.59,487.20,146.49,0,241.25,390.59,487.20,0,-1.0,-1.0,2,553,707.70,815,1350.56,0,0.000,1,0,1
2026-09-20 11:41:01,mfsweep_shard0,SPT_SRWT,43,3757.34,137,15,274,9,588,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,65,4532.5,0,0.00000,0.0,0.0,-1.0,249.42,399.00,486.13,148.40,0,249.42,399.00,486.13,0,-1.0,-1.0,2,478,639.44,718,1177.78,0,0.000,1,0,1
2026-09-20 11:45:28,mfsweep_shard0,SPT_SRWT,44,3773.36,137,15,274,9,593,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,60,3534.8,0,0.00000,0.0,0.0,-1.0,249.45,406.94,738.96,148.69,0,249.45,406.94,738.96,0,-1.0,-1.0,4,496,633.96,775,1229.92,0,0.000,1,0,1
2026-09-20 11:50:00,mfsweep_shard0,SPT_SRWT,45,3854.54,137,15,274,9,586,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,75,4644.2,0,0.00000,0.0,0.0,-1.0,255.49,426.84,1033.69,148.81,0,255.49,426.84,1033.69,0,-1.0,-1.0,4,542,740.20,781,1305.32,0,0.000,1,0,1
2026-09-20 11:54:31,mfsweep_shard0,SPT_SRWT,46,3846.44,137,15,274,9,585,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,69,4549.2,0,0.00000,0.0,0.0,-1.0,234.87,365.81,443.13,141.31,0,234.87,365.81,443.13,0,-1.0,-1.0,3,523,689.44,810,1273.50,0,0.000,1,0,1
2026-09-20 11:58:59,mfsweep_shard0,SPT_SRWT,47,3783.34,137,15,274,9,588,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,72,4514.1,0,0.00000,0.0,0.0,-1.0,236.68,335.58,552.75,147.02,0,236.68,335.58,552.75,0,-1.0,-1.0,4,491,679.58,771,1254.50,0,0.000,1,0,1
2026-09-20 12:03:35,mfsweep_shard0,SPT_SRWT,48,3946.44,137,15,274,9,596,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,73,5204.6,0,0.00000,0.0,0.0,-1.0,259.52,532.76,775.29,149.52,0,259.52,532.76,775.29,0,-1.0,-1.0,2,487,579.28,769,1160.68,0,0.000,1,0,1
2026-09-20 12:07:49,mfsweep_shard0,SPT_SRWT,49,3794.00,137,15,274,9,573,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,68,4406.3,0,0.00000,0.0,0.0,-1.0,234.06,320.70,455.05,142.72,0,234.06,320.70,455.05,0,-1.0,-1.0,2,531,690.34,785,1284.84,0,0.000,1,0,1
2026-09-20 12:11:49,mfsweep_shard0,SPT_SRWT,50,3965.84,137,15,274,9,606,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,78,4882.5,0,0.00000,0.0,0.0,-1.0,277.05,618.86,1386.00,152.60,0,277.05,618.86,1386.00,0,-1.0,-1.0,3,511,722.78,766,1349.76,0,0.000,1,0,1
2026-09-20 12:15:24,mfsweep_shard0,SPT_SRWT,51,3768.44,137,15,274,9,578,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,74,5116.0,0,0.00000,0.0,0.0,-1.0,233.68,328.24,525.22,147.24,0,233.68,328.24,525.22,0,-1.0,-1.0,5,505,688.08,742,1259.96,0,0.000,1,0,1
