timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_static_overlap_events,agv_min_centre_distance,release_previous_zone,split_spines,orphan_reaper
2026-09-20 12:30:49,mfsweep_shard0,SPT_SRWT,42,4067.08,137,15,274,12,344,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,70,4794.1,0,0.00000,0.0,0.0,-1.0,258.66,289.79,289.79,188.65,134,3983.68,4067.08,4067.08,1,4067.1,573.9,0,25,31.34,61,3762.22,0,0.000,0,1,1
2026-09-20 12:34:39,mfsweep_shard0,SPT_SRWT,43,5476.62,137,15,274,12,406,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,98,6641.5,0,0.00000,0.0,0.0,-1.0,272.75,319.21,319.21,201.68,132,5286.70,5476.62,5476.62,1,5476.6,644.5,0,51,65.82,80,5231.56,0,0.001,0,1,1
2026-09-20 12:39:22,mfsweep_shard0,SPT_SRWT,44,6580.28,137,15,274,12,475,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,112,6627.5,0,0.00000,0.0,0.0,-1.0,287.48,366.64,366.64,208.19,125,6029.08,6580.28,6580.28,1,6580.3,804.0,1,60,59.62,117,6210.04,0,0.000,0,1,1
2026-09-20 12:44:25,mfsweep_shard0,SPT_SRWT,45,7002.26,137,15,274,12,483,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,136,8203.8,0,0.00000,0.0,0.0,-1.0,236.63,263.65,263.65,169.23,132,6755.34,7002.26,7002.26,1,7002.3,637.6,2,30,40.38,70,6637.34,0,0.000,0,1,1
2026-09-20 12:48:21,mfsweep_shard0,SPT_SRWT,46,5543.70,137,15,274,12,418,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,99,6211.2,0,0.00000,0.0,0.0,-1.0,228.83,249.75,249.75,161.44,132,5349.72,5543.70,5543.70,1,5543.7,651.7,1,36,53.42,70,5176.32,0,0.027,0,1,1
2026-09-20 12:52:32,mfsweep_shard0,SPT_SRWT,47,5877.48,137,15,274,12,359,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,107,6583.4,0,0.00000,0.0,0.0,-1.0,997.59,2518.43,2518.43,929.96,131,5663.76,5877.48,5877.48,1,5877.5,679.5,1,35,45.38,75,5562.34,0,0.016,0,1,1
2026-09-20 12:56:21,mfsweep_shard0,SPT_SRWT,48,5182.26,137,15,274,12,408,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,94,6329.5,0,0.00000,0.0,0.0,-1.0,481.38,982.60,1367.62,386.15,116,4461.69,5182.26,5182.26,1,5182.3,1159.6,1,20,16.90,113,4429.24,0,0.012,0,1,1
2026-09-20 12:59:30,mfsweep_shard0,SPT_SRWT,49,4441.96,137,15,274,12,300,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,78,5200.1,0,0.00000,0.0,0.0,-1.0,238.81,276.55,276.55,161.35,133,4319.24,4441.96,4441.96,1,4442.0,616.8,1,45,47.42,85,4346.14,0,0.000,0,1,1
2026-09-20 13:01:48,mfsweep_shard0,SPT_SRWT,50,3345.56,137,15,256,12,389,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,70,4120.0,0,0.00000,0.0,0.0,-1.0,249.79,275.69,275.69,180.98,124,3248.82,3345.56,3345.56,1,3345.6,542.3,1,31,43.74,56,3107.86,0,0.016,0,1,1
2026-09-20 13:04:55,mfsweep_shard0,SPT_SRWT,51,4277.84,137,15,274,12,400,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,84,5787.0,0,0.00000,0.0,0.0,-1.0,352.61,919.23,919.23,276.19,128,4019.98,4277.84,4277.84,1,4277.8,649.4,0,49,54.88,75,4031.72,0,0.000,0,1,1
