timestamp,instance,rule,seed,makespan,agv_id,total_trips,mean_trip_duration,time_idle,time_waiting_route,time_traveling,time_loading,time_unloading,total_path_length,reroute_count,congestion_fraction,stall_recovery_count
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,0,55,26.23,539.06,595.04,3058.62,103.36,108.02,8939.56,1,0.1351,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,1,50,29.40,573.40,719.94,2916.32,98.80,95.64,8523.41,0,0.1635,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,2,50,27.67,1002.22,558.40,2650.44,92.60,100.44,7737.45,2,0.1268,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,3,45,28.53,992.40,711.98,2525.02,82.48,92.22,7386.61,2,0.1617,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,4,42,28.92,1016.94,711.38,2504.38,85.76,85.64,7276.99,3,0.1615,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,5,45,27.51,997.76,694.04,2538.44,84.52,89.34,7411.95,2,0.1576,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,6,43,30.01,1114.88,663.40,2458.84,82.72,84.26,7199.29,1,0.1506,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,7,36,30.31,1267.76,715.84,2278.30,69.08,73.12,6684.58,2,0.1625,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,8,36,31.80,1374.04,735.80,2151.74,70.28,72.24,6324.43,1,0.1671,0
2026-09-20 12:21:20,mfsweep_shard0,LRT_MMUR,42,4404.12,9,36,29.52,1309.36,718.90,2231.60,73.92,70.32,6559.91,0,0.1632,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,0,61,29.36,649.18,786.92,3069.74,114.04,120.30,8975.61,0,0.1660,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,1,54,30.85,681.06,972.58,2876.48,106.34,103.72,8386.49,0,0.2052,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,2,46,32.88,1185.58,946.96,2427.12,86.20,94.32,7076.30,2,0.1998,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,3,45,31.42,1163.92,897.30,2501.02,87.08,90.86,7310.59,0,0.1893,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,4,48,33.57,1194.76,845.58,2513.76,90.44,95.64,7342.93,2,0.1784,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,5,45,33.99,1171.90,994.20,2395.12,86.90,92.06,6994.40,1,0.2097,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,6,45,32.41,1311.92,966.58,2287.00,83.34,91.34,6682.34,0,0.2039,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,7,42,35.65,1314.26,988.76,2273.34,80.50,83.32,6688.36,1,0.2086,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,8,42,32.69,1511.04,903.90,2163.70,78.78,82.76,6363.07,0,0.1907,0
2026-09-20 12:25:31,mfsweep_shard0,LRT_MMUR,43,4740.20,9,38,34.70,1573.14,861.40,2157.10,71.38,77.16,6361.11,2,0.1817,0
2026-09-20 12:29:17,mfsweep_shard0,LRT_MMUR,44,4152.64,0,54,32.26,351.70,943.70,2647.42,102.48,107.32,7725.55,2,0.2273,0
2026-09-20 12:29:17,mfsweep_shard0,LRT_MMUR,44,4152.64,1,56,32.60,400.20,898.80,2636.44,106.54,110.64,7701.61,3,0.2164,0
2026-09-20 12:29:17,mfsweep_shard0,LRT_MMUR,44,4152.64,2,58,30.91,466.72,803.38,2658.08,106.24,118.20,7754.39,2,0.1935,0
2026-09-20 12:29:17,mfsweep_shard0,LRT_MMUR,44,4152.64,3,51,31.71,388.48,887.48,2675.42,100.10,101.14,7800.03,2,0.2137,0
