timestamp,instance,rule,seed,makespan,agv_id,total_trips,mean_trip_duration,time_idle,time_waiting_route,time_traveling,time_loading,time_unloading,total_path_length,reroute_count,congestion_fraction
2026-06-12 20:37:01,50j_15m_agv5,LPT_SMPT,42,18096.57,0,161,20.34,8145.84,253.24,9009.74,344.30,343.46,26132.18,0,0.0140
2026-06-12 20:37:01,50j_15m_agv5,LPT_SMPT,42,18096.57,1,110,20.83,10681.24,827.32,6127.50,230.82,229.70,17802.25,0,0.0457
2026-06-12 20:37:01,50j_15m_agv5,LPT_SMPT,42,18096.57,2,38,19.59,15719.49,129.22,2089.02,77.62,81.22,6084.40,0,0.0071
2026-06-12 20:37:01,50j_15m_agv5,LPT_SMPT,42,18096.57,3,2,33.78,17946.27,0.26,141.88,3.66,4.50,419.65,0,0.0000
2026-06-12 20:37:01,50j_15m_agv5,LPT_SMPT,42,18096.57,4,0,0.00,18096.57,0.00,0.00,0.00,0.00,0.00,0,0.0000
2026-06-12 20:44:46,50j_15m_agv5,LPT_SMPT,43,15600.00,0,138,18.74,7230.22,203.84,7581.74,293.54,290.66,22051.95,0,0.0131
2026-06-12 20:44:46,50j_15m_agv5,LPT_SMPT,43,15600.00,1,94,20.45,9270.62,666.90,5269.68,196.34,196.46,15342.87,0,0.0428
2026-06-12 20:44:46,50j_15m_agv5,LPT_SMPT,43,15600.00,2,43,20.36,12633.12,355.42,2433.94,85.88,91.64,7106.68,0,0.0228
2026-06-12 20:44:46,50j_15m_agv5,LPT_SMPT,43,15600.00,3,2,27.48,15447.65,4.68,138.82,4.40,4.44,406.42,0,0.0003
2026-06-12 20:44:46,50j_15m_agv5,LPT_SMPT,43,15600.00,4,0,0.00,15599.99,0.00,0.00,0.00,0.00,0.00,0,0.0000
2026-06-12 20:53:48,50j_15m_agv5,LPT_SMPT,44,18033.33,0,153,20.53,8529.36,208.52,8640.78,325.44,329.24,25098.21,0,0.0116
2026-06-12 20:53:48,50j_15m_agv5,LPT_SMPT,44,18033.33,1,110,20.48,10858.08,614.64,6100.90,231.06,228.66,17748.63,0,0.0341
2026-06-12 20:53:48,50j_15m_agv5,LPT_SMPT,44,18033.33,2,45,19.85,15089.21,179.14,2575.28,92.88,96.82,7479.29,0,0.0099
2026-06-12 20:53:48,50j_15m_agv5,LPT_SMPT,44,18033.33,3,2,22.46,17900.19,5.46,118.76,4.48,4.44,346.92,0,0.0003
2026-06-12 20:53:48,50j_15m_agv5,LPT_SMPT,44,18033.33,4,0,0.00,18033.33,0.00,0.00,0.00,0.00,0.00,0,0.0000
