timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,deadlock_detected,deadlock_sim_time
2026-09-02 14:07:58,agv07_dial_l004,LPT_MMUR,42,15033.12,57,15,376,7,724,-0.8033,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.3,14866.5,1241.47,1899.78,2133.11,567.25,4,0,-1.0
2026-09-02 14:13:59,agv07_dial_l006,LPT_MMUR,42,15000.0,77,15,511,7,988,-0.6495,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1304.05,2066.67,2833.33,585.13,3,0,-1.0
2026-09-02 14:20:17,agv07_dial_l008,LPT_MMUR,42,15000.0,93,15,609,7,1161,-0.5546,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1425.97,2400.0,3766.67,598.84,7,0,-1.0
2026-09-02 14:26:52,agv07_dial_l010,LPT_MMUR,42,15033.34,120,15,775,7,1471,-0.4881,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1672.38,3700.0,4866.67,611.75,15,0,-1.0
2026-09-02 14:07:56,agv07_dial_l004,LPT_SMPT,42,15000.06,57,15,376,7,725,-0.8025,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.3,14866.7,1057.24,1466.72,1600.06,578.63,4,0,-1.0
2026-09-02 14:13:57,agv07_dial_l006,LPT_SMPT,42,15000.0,77,15,511,7,986,-0.6487,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1075.8,1433.33,1600.0,595.89,4,0,-1.0
2026-09-02 14:20:13,agv07_dial_l008,LPT_SMPT,42,15033.34,93,15,609,7,1169,-0.5552,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1091.57,1533.33,1666.67,609.96,6,0,-1.0
2026-09-02 14:26:48,agv07_dial_l010,LPT_SMPT,42,15033.33,120,15,775,7,1498,-0.4884,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1130.33,1600.0,1733.33,657.36,9,0,-1.0
2026-09-02 14:07:58,agv07_dial_l004,LRT_MMUR,42,15006.65,57,15,376,7,723,-0.8018,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.5,14873.3,1240.25,1873.31,2173.31,554.71,4,0,-1.0
2026-09-02 14:14:00,agv07_dial_l006,LRT_MMUR,42,15000.0,77,15,511,7,989,-0.6496,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1309.59,2033.33,2533.33,589.95,4,0,-1.0
2026-09-02 14:20:16,agv07_dial_l008,LRT_MMUR,42,15000.0,93,15,609,7,1161,-0.5546,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1446.12,2566.67,4266.67,595.35,7,0,-1.0
2026-09-02 14:26:52,agv07_dial_l010,LRT_MMUR,42,15033.34,120,15,775,7,1483,-0.4879,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1658.18,3200.0,5366.67,619.5,14,0,-1.0
2026-09-02 14:07:57,agv07_dial_l004,SDT_SRWT,42,15004.43,57,15,376,7,723,-0.8024,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.4,14871.1,1095.8,1400.0,1504.43,603.98,4,0,-1.0
2026-09-02 14:13:58,agv07_dial_l006,SDT_SRWT,42,15000.0,77,15,511,7,989,-0.6496,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1122.07,1500.0,1533.33,626.13,3,0,-1.0
2026-09-02 14:20:15,agv07_dial_l008,SDT_SRWT,42,15000.0,93,15,609,7,1161,-0.554,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1156.98,1533.33,1733.33,659.3,7,0,-1.0
2026-09-02 14:26:49,agv07_dial_l010,SDT_SRWT,42,15000.0,119,15,769,7,1489,-0.488,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,109,0.01,100.0,137.0,14933.3,1183.79,1600.0,1666.67,688.99,10,0,-1.0
2026-09-02 14:07:59,agv07_dial_l004,SPT_SMPT,42,15032.29,57,15,376,7,727,-0.8031,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.3,14865.6,1041.31,1333.33,1598.96,567.73,4,0,-1.0
2026-09-02 14:14:02,agv07_dial_l006,SPT_SMPT,42,15000.0,77,15,511,7,987,-0.6488,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1082.19,1600.0,1800.0,601.37,4,0,-1.0
2026-09-02 14:20:19,agv07_dial_l008,SPT_SMPT,42,15033.34,93,15,609,7,1169,-0.5552,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1099.62,1533.33,1800.0,624.14,6,0,-1.0
2026-09-02 14:26:57,agv07_dial_l010,SPT_SMPT,42,15033.34,120,15,775,7,1502,-0.4884,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1146.43,1700.0,1866.67,665.18,8,0,-1.0
2026-09-02 14:07:57,agv07_dial_l004,SPT_SRWT,42,15004.92,57,15,376,7,722,-0.8014,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.4,14871.6,1099.67,1433.33,1538.25,605.96,4,0,-1.0
2026-09-02 14:14:00,agv07_dial_l006,SPT_SRWT,42,15000.0,77,15,511,7,989,-0.6495,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1113.96,1466.67,1533.33,622.52,3,0,-1.0
