policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,0,0.02,1,15,0,6,LRT-MMUR,2.04008,0.169,0.14876,0.16465,0.09245,0.09117,0.08453,0.09443,0.169,0.15501
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,1,0.02,2,15,0,6,LRT-MMUR,2.03999,0.16794,0.14864,0.16627,0.09235,0.09143,0.08455,0.09409,0.16794,0.15473
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,2,0.02,3,15,0,1,SPT-SRWT,2.04024,0.16752,0.14858,0.16752,0.09189,0.09186,0.08532,0.09365,0.16632,0.15487
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,3,0.02,4,15,0,1,SPT-SRWT,2.04048,0.16866,0.14854,0.16866,0.0914,0.09228,0.0861,0.09325,0.16472,0.15504
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,4,0.02,5,15,0,1,SPT-SRWT,2.04027,0.17011,0.14838,0.17011,0.0913,0.0925,0.08596,0.09306,0.1639,0.15478
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,5,0.02,6,15,0,1,SPT-SRWT,2.03957,0.17183,0.14808,0.17183,0.09158,0.09261,0.08473,0.09309,0.16387,0.1542
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,6,0.02,7,15,0,1,SPT-SRWT,2.03971,0.17266,0.14803,0.17266,0.0911,0.09291,0.08536,0.09286,0.16258,0.1545
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,7,0.02,8,15,0,1,SPT-SRWT,2.03984,0.17331,0.148,0.17331,0.09061,0.09317,0.08599,0.09268,0.16139,0.15485
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,8,0.02,9,15,0,1,SPT-SRWT,2.03997,0.17375,0.14802,0.17375,0.09011,0.09339,0.0866,0.09255,0.16031,0.15527
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,9,0.02,10,15,0,1,SPT-SRWT,2.04009,0.17401,0.14807,0.17401,0.0896,0.09356,0.0872,0.09249,0.15936,0.15572
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,10,0.02,11,15,0,1,SPT-SRWT,2.04021,0.17408,0.14815,0.17408,0.08909,0.09368,0.08776,0.09248,0.15855,0.1562
