timestamp,instance,rule,seed,makespan,agv_id,total_trips,mean_trip_duration,time_idle,time_waiting_route,time_traveling,time_loading,time_unloading,total_path_length,reroute_count,congestion_fraction,stall_recovery_count
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,0,63,35.99,181.10,1100.08,2422.78,115.24,130.02,7156.38,4,0.2786,0
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,1,59,35.15,109.90,1197.46,2409.26,117.46,115.14,7096.18,2,0.3032,0
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,2,63,34.27,348.88,1030.84,2327.96,114.48,127.06,6888.49,1,0.2610,0
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,3,61,33.48,293.08,1106.22,2309.66,119.64,120.62,6806.10,1,0.2801,0
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,4,61,36.34,319.18,1082.32,2311.74,114.88,121.10,6840.40,3,0.2741,0
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,5,56,35.35,420.34,1081.34,2232.94,105.48,109.12,6632.71,0,0.2738,0
2026-09-19 12:17:48,mfsweep_shard0,SPT_SRWT,42,3949.24,6,60,33.44,383.52,1064.70,2271.40,113.28,116.32,6722.10,3,0.2696,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,0,67,34.91,147.40,1136.34,2716.28,129.30,132.34,8029.70,1,0.2666,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,1,60,33.87,353.68,1150.40,2525.26,114.00,118.32,7479.36,0,0.2699,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,2,62,35.05,453.40,1119.64,2446.58,115.76,126.28,7250.46,2,0.2627,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,3,61,35.02,453.14,1137.76,2431.78,117.16,121.82,7186.90,1,0.2670,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,4,59,35.60,486.40,1050.90,2493.78,114.96,115.62,7393.19,2,0.2466,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,5,59,37.07,459.38,1215.98,2356.48,112.92,116.90,6972.63,2,0.2853,0
2026-09-19 12:20:03,mfsweep_shard0,SPT_SRWT,43,4261.68,6,61,34.01,498.16,1138.98,2391.82,113.52,119.18,7086.03,1,0.2673,0
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,0,112,0.35,14.98,19664.47,147.46,168.64,4.44,430.43,0,0.9832,109
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,1,1,17.14,32.96,19831.01,131.66,2.22,2.14,380.03,0,0.9916,109
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,2,2,13.14,48.16,19843.03,102.86,3.72,2.22,299.88,0,0.9922,94
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,3,2,33.67,33.20,19842.53,116.08,3.74,4.44,336.91,0,0.9921,110
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,4,2,27.41,19894.51,1.58,96.46,3.00,4.44,291.27,0,0.0001,0
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,5,2,23.33,120.12,19797.61,77.00,3.04,2.22,230.93,0,0.9899,95
2026-09-19 12:29:59,mfsweep_shard0,SPT_SRWT,44,20000.01,6,1,22.86,111.60,19833.79,50.24,2.22,2.14,139.93,0,0.9917,109
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,0,61,35.40,107.82,1236.54,2534.50,113.82,122.62,7508.34,1,0.3005,0
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,1,65,36.50,176.36,1142.98,2543.78,125.08,127.10,7520.66,2,0.2777,0
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,2,64,33.48,149.68,1106.26,2615.26,118.58,125.52,7747.25,2,0.2688,0
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,3,60,33.40,276.62,1176.84,2427.52,115.60,118.72,7170.24,1,0.2860,0
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,4,58,38.02,208.18,1118.56,2558.12,117.36,113.08,7597.59,1,0.2718,0
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,5,60,35.35,231.38,1159.86,2485.28,120.46,118.32,7349.51,3,0.2818,0
2026-09-19 12:32:02,mfsweep_shard0,SPT_SRWT,45,4115.32,6,62,36.12,292.88,1180.86,2397.30,117.98,126.28,7084.00,5,0.2869,0
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,0,5,20.56,31.40,19735.45,214.58,8.26,10.30,629.30,0,0.9868,96
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,1,33,1.96,45.06,19738.85,159.24,50.18,6.66,467.18,1,0.9869,99
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,2,2,12.23,46.98,19822.95,123.40,4.44,2.22,357.35,0,0.9911,108
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,3,111,0.35,67.06,19620.01,141.26,167.22,4.44,416.64,0,0.9810,108
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,4,2,16.62,67.08,19800.21,126.04,4.44,2.22,366.80,1,0.9900,97
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,5,2,21.95,85.26,19786.01,120.56,4.44,3.72,346.43,0,0.9893,108
2026-09-19 12:41:29,mfsweep_shard0,SPT_SRWT,46,20000.01,6,2,36.06,19878.23,44.20,69.48,3.72,4.36,203.63,0,0.0022,0
2026-09-19 12:43:35,mfsweep_shard0,SPT_SRWT,47,3947.18,0,60,36.31,59.96,1131.38,2522.14,115.44,118.24,7475.86,2,0.2866,0
2026-09-19 12:43:35,mfsweep_shard0,SPT_SRWT,47,3947.18,1,61,36.37,106.26,1081.52,2523.66,117.50,118.22,7487.20,1,0.2740,0
2026-09-19 12:43:35,mfsweep_shard0,SPT_SRWT,47,3947.18,2,66,33.64,200.96,1097.96,2392.54,122.54,133.16,7055.37,1,0.2782,0
2026-09-19 12:43:35,mfsweep_shard0,SPT_SRWT,47,3947.18,3,59,36.46,174.32,1113.96,2427.64,116.66,114.58,7203.91,2,0.2822,0
